Month,Year,AverageValue
9,2007,1497.12
10,2007,1539.66
11,2007,1463.39
12,2007,1479.22
1,2008,1378.76
2,2008,1354.87
3,2008,1316.94
4,2008,1370.47
5,2008,1403.22
6,2008,1341.25
7,2008,1257.33
8,2008,1281.47
9,2008,1217.02
10,2008,968.80
11,2008,883.04
12,2008,877.56
1,2009,865.58
2,2009,805.23
3,2009,757.13
4,2009,848.15
5,2009,902.41
6,2009,926.11
7,2009,935.82
8,2009,1009.72
9,2009,1044.55
10,2009,1067.66
11,2009,1088.07
12,2009,1110.38
1,2010,1123.58
2,2010,1089.16
3,2010,1152.05
4,2010,1197.32
5,2010,1125.06
6,2010,1083.36
7,2010,1079.80
8,2010,1087.28
9,2010,1122.08
10,2010,1171.58
11,2010,1198.89
12,2010,1241.53
1,2011,1282.62
2,2011,1321.12
3,2011,1304.49
4,2011,1331.51
5,2011,1338.31
6,2011,1287.29
7,2011,1325.18
8,2011,1185.31
9,2011,1173.88
10,2011,1207.22
11,2011,1226.41
12,2011,1243.32
1,2012,1300.58
2,2012,1352.49
3,2012,1389.24
4,2012,1386.43
5,2012,1341.27
6,2012,1323.48
7,2012,1359.78
8,2012,1403.45
9,2012,1443.42
10,2012,1437.82
11,2012,1394.51
12,2012,1422.29
1,2013,1480.40
2,2013,1512.31
3,2013,1550.83
4,2013,1570.70
5,2013,1639.84
6,2013,1618.77
7,2013,1668.68
8,2013,1670.09
9,2013,1687.17
10,2013,1720.03
11,2013,1783.54
12,2013,1807.78
1,2014,1822.36
2,2014,1817.03
3,2014,1863.52
4,2014,1864.26
5,2014,1889.77
6,2014,1947.09
7,2014,1973.10
8,2014,1961.53
9,2014,1993.23
10,2014,1937.27
11,2014,2044.57
12,2014,2054.27
1,2015,2028.18
2,2015,2082.20
3,2015,2079.99
4,2015,2094.86
5,2015,2111.94
6,2015,2099.28
7,2015,2094.14
8,2015,2039.87
9,2015,1944.40
10,2015,2024.81
11,2015,2080.62
12,2015,2054.08
1,2016,1918.60
2,2016,1904.42
3,2016,2021.95
4,2016,2075.54
5,2016,2065.55
6,2016,2083.89
7,2016,2148.90
8,2016,2177.48
9,2016,2157.69
10,2016,2143.02
11,2016,2164.99
12,2016,2246.63
1,2017,2275.12
2,2017,2329.91
3,2017,2366.82
4,2017,2359.31
5,2017,2395.35
6,2017,2433.99
7,2017,2454.10
8,2017,2456.22
9,2017,2492.84
10,2017,2557.00
11,2017,2593.61
12,2017,2664.34
1,2018,2789.80
2,2018,2705.16
3,2018,2702.77
4,2018,2653.63
5,2018,2701.49
6,2018,2754.35
7,2018,2793.64
8,2018,2857.82
9,2018,2901.50
10,2018,2785.46
11,2018,2723.23
12,2018,2567.31
1,2019,2607.39
2,2019,2754.86
3,2019,2803.98
4,2019,2903.80
5,2019,2854.71
6,2019,2890.17
7,2019,2996.11
8,2019,2897.45
9,2019,2982.16
10,2019,2977.68
11,2019,3104.90
12,2019,3176.75
1,2020,3278.20
2,2020,3277.31
3,2020,2652.39
4,2020,2761.98
5,2020,2919.61
6,2020,3104.66
7,2020,3207.62
8,2020,3391.71
9,2020,3365.52
10,2020,3418.70
11,2020,3548.99
12,2020,3695.31
1,2021,3793.75
2,2021,3883.43
3,2021,3910.51
4,2021,4141.18
5,2021,4167.85
6,2021,4238.49
7,2021,4363.71
8,2021,4453.97
9,2021,4445.54
10,2021,4460.71
11,2021,4667.39
12,2021,4674.77
1,2022,4573.82
2,2022,4435.98
3,2022,4391.27
4,2022,4391.30
5,2022,4040.36
6,2022,3898.95
7,2022,3911.73
8,2022,4158.56
9,2022,3850.52
10,2022,3726.05
11,2022,3917.49
12,2022,3912.38
1,2023,3960.66
2,2023,4079.68
3,2023,3968.56
4,2023,4121.47
5,2023,4146.17
6,2023,4345.37
7,2023,4508.08
8,2023,4457.36
9,2023,4409.10
10,2023,4269.40
11,2023,4460.06
12,2023,4685.05
1,2024,4804.49
2,2024,5011.96
3,2024,5170.57
4,2024,5112.49
5,2024,5235.23
6,2024,5415.14
7,2024,5538.00
8,2024,5478.21
9,2024,5621.26
10,2024,5792.32
11,2024,5929.92
12,2024,6069.78
