Year,Month,Day,Close,AdjustedClose
1981,9,10,2067.30,2062.05
1981,9,11,2090.90,2085.59
1981,9,14,2075.40,2070.13
1981,9,15,2030.20,2025.04
1981,9,16,1993.10,1988.04
1981,9,17,1956.40,1951.43
1981,9,18,1933.60,1928.69
1981,9,21,1934.90,1929.99
1981,9,22,1955.60,1950.63
1981,9,23,1923.80,1918.91
1981,9,24,1896.60,1891.78
1981,9,25,1812.50,1807.90
1981,9,28,1855.40,1850.69
1981,9,29,1894.80,1889.99
1981,9,30,1883.40,1878.62
1981,10,1,1902.20,1897.37
1981,10,2,1936.70,1931.78
1981,10,5,1944.80,1939.86
1981,10,6,1935.60,1930.68
1981,10,7,1938.70,1933.78
1981,10,8,1958.30,1953.33
1981,10,9,1951.30,1946.34
1981,10,12,0.00,0.00
1981,10,13,1929.10,1924.20
1981,10,14,1892.10,1887.30
1981,10,15,1905.60,1900.76
1981,10,16,1910.40,1905.55
1981,10,19,1895.40,1890.59
1981,10,20,1900.40,1895.57
1981,10,21,1875.00,1870.24
1981,10,22,1874.00,1869.24
1981,10,23,1863.80,1859.07
1981,10,26,1854.00,1849.29
1981,10,27,1865.10,1860.36
1981,10,28,1853.70,1848.99
1981,10,29,1828.90,1824.26
1981,10,30,1842.60,1837.92
1981,11,2,1882.20,1877.42
1981,11,3,1910.50,1905.65
1981,11,4,1906.40,1901.56
1981,11,5,1906.70,1901.86
1981,11,6,1913.40,1908.54
1981,11,9,1924.60,1919.71
1981,11,10,1932.50,1927.59
1981,11,11,1939.70,1934.77
1981,11,12,1960.90,1955.92
1981,11,13,1921.80,1916.92
1981,11,16,1869.00,1864.25
1981,11,17,1881.40,1876.62
1981,11,18,1878.20,1873.43
1981,11,19,1904.30,1899.46
1981,11,20,1925.30,1920.41
1981,11,23,1918.50,1913.63
1981,11,24,1933.40,1928.49
1981,11,25,1952.50,1947.54
1981,11,26,0.00,0.00
1981,11,27,1999.60,1994.52
1981,11,30,2012.10,2006.99
1981,12,1,1995.70,1990.63
1981,12,2,1963.20,1958.21
1981,12,3,1967.30,1962.30
1981,12,4,1989.20,1984.15
1981,12,7,1979.20,1974.17
1981,12,8,1951.70,1946.74
1981,12,9,1958.10,1953.13
1981,12,10,1962.20,1957.22
1981,12,11,1954.10,1949.14
1981,12,14,1928.30,1923.40
1981,12,15,1935.40,1930.49
1981,12,16,1934.10,1929.19
1981,12,17,1941.40,1936.47
1981,12,18,1947.60,1942.65
1981,12,21,1932.20,1927.29
1981,12,22,1929.90,1925.00
1981,12,23,1946.60,1941.66
1981,12,24,1952.00,1947.04
1981,12,25,0.00,0.00
1981,12,28,0.00,0.00
